fen,move,score,outcome
rn5r/3b1ppp/5k2/pN6/2P5/BP2P3/2K2nPP/R4BR1 b - - 1 21,d7f5,110,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP2P3/2K2nPP/R4BR1 w - - 2 21,c2c1,110,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP2P3/5nPP/R1K2BR1 b - - 3 22,f2d3,110,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP1nP3/6PP/R1K2BR1 w - - 4 22,f1d3,100,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP1BP3/6PP/R1K3R1 b - - 0 23,f5d3,200,0.5
rn5r/5ppp/5k2/pN6/2P5/BP1bP3/6PP/R1K3R1 w - - 0 23,c1d2,100,0.5
rn5r/5ppp/5k2/pN6/2P5/BP1bP3/3K2PP/R5R1 b - - 1 24,d3e4,200,0.5
rn5r/5ppp/5k2/pN6/2P1b3/BP2P3/3K2PP/R5R1 w - - 2 24,a3b2,100,0.5
rn5r/5ppp/5k2/pN6/2P1b3/1P2P3/1B1K2PP/R5R1 b - - 3 25,f6g5,200,0.5
rn5r/5ppp/8/pN4k1/2P1b3/1P2P3/1B1K2PP/R5R1 w - - 4 25,b2g7,100,0.5
rn5r/5pBp/8/pN4k1/2P1b3/1P2P3/3K2PP/R5R1 b - - 0 26,h8d8,300,0.5
rn1r4/5pBp/8/pN4k1/2P1b3/1P2P3/3K2PP/R5R1 w - - 1 26,g7d4,100,0.5
rn1r4/5p1p/8/pN4k1/2PBb3/1P2P3/3K2PP/R5R1 b - - 2 27,a5a4,300,0.5
rn1r4/5p1p/8/1N4k1/p1PBb3/1P2P3/3K2PP/R5R1 w - - 0 27,d2c3,100,0.5
rn1r4/5p1p/8/1N4k1/p1PBb3/1PK1P3/6PP/R5R1 b - - 1 28,a4a3,300,0.5
rn1r4/5p1p/8/1N4k1/2PBb3/pPK1P3/6PP/R5R1 w - - 0 28,g2g3,200,0.5
rn1r4/5p1p/8/1N4k1/2PBb3/pPK1P1P1/7P/R5R1 b - - 0 29,a3a2,300,0.5
rn1r4/5p1p/8/1N4k1/2PBb3/1PK1P1P1/p6P/R5R1 w - - 0 29,h2h4,200,0.5
rn1r4/5p1p/8/1N4k1/2PBb2P/1PK1P1P1/p7/R5R1 b - h3 0 30,g5g4,300,0.5
rn1r4/5p1p/8/1N6/2PBb1kP/1PK1P1P1/p7/R5R1 w - - 1 30,b3b4,100,0.5
rn1r4/5p1p/8/1N6/1PPBb1kP/2K1P1P1/p7/R5R1 b - - 0 31,b8c6,200,0.5
r2r4/5p1p/2n5/1N6/1PPBb1kP/2K1P1P1/p7/R5R1 w - - 1 31,d4c5,100,0.5
r2r4/5p1p/2n5/1NB5/1PP1b1kP/2K1P1P1/p7/R5R1 b - - 2 32,d8d3,200,0.5
r7/5p1p/2n5/1NB5/1PP1b1kP/2KrP1P1/p7/R5R1 w - - 3 32,c3b2,100,0.5
r7/5p1p/2n5/1NB5/1PP1b1kP/3rP1P1/pK6/R5R1 b - - 4 33,c6e5,200,0.5
r7/5p1p/8/1NB1n3/1PP1b1kP/3rP1P1/pK6/R5R1 w - - 5 33,c5e7,100,0.5
